date;journal;compte;libelle;debit;credit;piece
2024-03-25;VT;445700;TVA sur vente - CLIENT_006;0.00;59414.90;FAC2024-0017
2024-12-23;VT;411000;Facture N°FAC2024-0018 - CLIENT_013;315402.40;0.00;FAC2024-0018
2024-12-23;VT;700000;Vente marchandises - CLIENT_013;0.00;289360;FAC2024-0018
2024-12-23;VT;445700;TVA sur vente - CLIENT_013;0.00;26042.40;FAC2024-0018
2024-09-26;VT;411000;Facture N°FAC2024-0019 - CLIENT_002;78098.51;0.00;FAC2024-0019
2024-09-26;VT;700000;Vente marchandises - CLIENT_002;0.00;65629;FAC2024-0019
2024-09-26;VT;445700;TVA sur vente - CLIENT_002;0.00;12469.51;FAC2024-0019
2024-09-29;VT;411000;Facture N°FAC2024-0020 - CLIENT_013;363949.60;0.00;FAC2024-0020
2024-09-29;VT;700000;Vente marchandises - CLIENT_013;0.00;305840;FAC2024-0020
2024-09-29;VT;445700;TVA sur vente - CLIENT_013;0.00;58109.60;FAC2024-0020
2024-09-30;VT;411000;Facture N°FAC2024-0021 - CLIENT_017;78666.14;0.00;FAC2024-0021
2024-09-30;VT;700000;Vente marchandises - CLIENT_017;0.00;66106;FAC2024-0021
2024-09-30;VT;445700;TVA sur vente - CLIENT_017;0.00;12560.14;FAC2024-0021
2024-10-25;VT;411000;Facture N°FAC2024-0022 - CLIENT_013;563970.75;0.00;FAC2024-0022
2024-10-25;VT;700000;Vente marchandises - CLIENT_013;0.00;473925;FAC2024-0022
2024-10-25;VT;445700;TVA sur vente - CLIENT_013;0.00;90045.75;FAC2024-0022
2024-05-06;VT;411000;Facture N°FAC2024-0023 - CLIENT_001;77940.24;0.00;FAC2024-0023
2024-05-06;VT;700000;Vente marchandises - CLIENT_001;0.00;65496;FAC2024-0023
2024-05-06;VT;445700;TVA sur vente - CLIENT_001;0.00;12444.24;FAC2024-0023
2024-12-07;VT;411000;Facture N°FAC2024-0024 - CLIENT_002;390526.29;0.00;FAC2024-0024
2024-12-07;VT;700000;Vente marchandises - CLIENT_002;0.00;358281;FAC2024-0024
2024-12-07;VT;445700;TVA sur vente - CLIENT_002;0.00;32245.29;FAC2024-0024
2024-03-15;VT;411000;Facture N°FAC2024-0025 - CLIENT_010;279323.40;0.00;FAC2024-0025
2024-03-15;VT;700000;Vente marchandises - CLIENT_010;0.00;256260;FAC2024-0025
2024-03-15;VT;445700;TVA sur vente - CLIENT_010;0.00;23063.40;FAC2024-0025
2024-07-30;VT;411000;Facture N°FAC2024-0026 - CLIENT_016;96993.33;0.00;FAC2024-0026
2024-07-30;VT;700000;Vente marchandises - CLIENT_016;0.00;81507;FAC2024-0026
2024-07-30;VT;445700;TVA sur vente - CLIENT_016;0.00;15486.33;FAC2024-0026
2024-06-26;VT;411000;Facture N°FAC2024-0027 - CLIENT_005;369164.18;0.00;FAC2024-0027
2024-06-26;VT;700000;Vente marchandises - CLIENT_005;0.00;310222;FAC2024-0027
2024-06-26;VT;445700;TVA sur vente - CLIENT_005;0.00;58942.18;FAC2024-0027
2024-06-13;VT;411000;Facture N°FAC2024-0028 - CLIENT_010;297400.04;0.00;FAC2024-0028
2024-06-13;VT;700000;Vente marchandises - CLIENT_010;0.00;249916;FAC2024-0028
2024-06-13;VT;445700;TVA sur vente - CLIENT_010;0.00;47484.04;FAC2024-0028
2024-01-23;VT;411000;Facture N°FAC2024-0029 - CLIENT_010;187821.17;0.00;FAC2024-0029
2024-01-23;VT;700000;Vente marchandises - CLIENT_010;0.00;172313;FAC2024-0029
2024-01-23;VT;445700;TVA sur vente - CLIENT_010;0.00;15508.17;FAC2024-0029
2024-08-10;VT;411000;Facture N°FAC2024-0030 - CLIENT_020;333221.72;0.00;FAC2024-0030
2024-08-10;VT;700000;Vente marchandises - CLIENT_020;0.00;305708;FAC2024-0030
2024-08-10;VT;445700;TVA sur vente - CLIENT_020;0.00;27513.72;FAC2024-0030
2024-04-10;VT;411000;Facture N°FAC2024-0031 - CLIENT_008;393782.90;0.00;FAC2024-0031
2024-04-10;VT;700000;Vente marchandises - CLIENT_008;0.00;330910;FAC2024-0031
2024-04-10;VT;445700;TVA sur vente - CLIENT_008;0.00;62872.90;FAC2024-0031
2024-12-28;VT;411000;Facture N°FAC2024-0032 - CLIENT_005;58274.30;0.00;FAC2024-0032
2024-12-28;VT;700000;Vente marchandises - CLIENT_005;0.00;48970;FAC2024-0032
2024-12-28;VT;445700;TVA sur vente - CLIENT_005;0.00;9304.30;FAC2024-0032
2024-12-28;VT;411000;Facture N°FAC2024-0033 - CLIENT_010;196188.16;0.00;FAC2024-0033
2024-12-28;VT;700000;Vente marchandises - CLIENT_010;0.00;164864;FAC2024-0033
2024-12-28;VT;445700;TVA sur vente - CLIENT_010;0.00;31324.16;FAC2024-0033
2024-12-14;VT;411000;Facture N°FAC2024-0034 - CLIENT_003;241022.98;0.00;FAC2024-0034
2024-12-14;VT;700000;Vente marchandises - CLIENT_003;0.00;221122;FAC2024-0034
2024-12-14;VT;445700;TVA sur vente - CLIENT_003;0.00;19900.98;FAC2024-0034
2024-01-27;VT;411000;Facture N°FAC2024-0035 - CLIENT_015;388876.53;0.00;FAC2024-0035
2024-01-27;VT;700000;Vente marchandises - CLIENT_015;0.00;326787;FAC2024-0035
2024-01-27;VT;445700;TVA sur vente - CLIENT_015;0.00;62089.53;FAC2024-0035
2024-08-23;VT;411000;Facture N°FAC2024-0036 - CLIENT_018;13122.13;0.00;FAC2024-0036
2024-08-23;VT;700000;Vente marchandises - CLIENT_018;0.00;11027;FAC2024-0036
2024-08-23;VT;445700;TVA sur vente - CLIENT_018;0.00;2095.13;FAC2024-0036
2024-06-16;VT;411000;Facture N°FAC2024-0037 - CLIENT_001;159940.76;0.00;FAC2024-0037
2024-06-16;VT;700000;Vente marchandises - CLIENT_001;0.00;134404;FAC2024-0037
2024-06-16;VT;445700;TVA sur vente - CLIENT_001;0.00;25536.76;FAC2024-0037
2024-01-12;VT;411000;Facture N°FAC2024-0038 - CLIENT_010;447535.47;0.00;FAC2024-0038
2024-01-12;VT;700000;Vente marchandises - CLIENT_010;0.00;410583;FAC2024-0038
2024-01-12;VT;445700;TVA sur vente - CLIENT_010;0.00;36952.47;FAC2024-0038
2024-03-14;VT;411000;Facture N°FAC2024-0039 - CLIENT_019;300507.55;0.00;FAC2024-0039
2024-03-14;VT;700000;Vente marchandises - CLIENT_019;0.00;275695;FAC2024-0039
2024-03-14;VT;445700;TVA sur vente - CLIENT_019;0.00;24812.55;FAC2024-0039
2024-07-21;VT;411000;Facture N°FAC2024-0040 - CLIENT_015;46631.34;0.00;FAC2024-0040
2024-07-21;VT;700000;Vente marchandises - CLIENT_015;0.00;39186;FAC2024-0040
2024-07-21;VT;445700;TVA sur vente - CLIENT_015;0.00;7445.34;FAC2024-0040
2024-03-04;VT;411000;Facture N°FAC2024-0041 - CLIENT_020;75945.80;0.00;FAC2024-0041
2024-03-04;VT;700000;Vente marchandises - CLIENT_020;0.00;63820;FAC2024-0041
2024-03-04;VT;445700;TVA sur vente - CLIENT_020;0.00;12125.80;FAC2024-0041
2024-01-07;VT;411000;Facture N°FAC2024-0042 - CLIENT_012;260056.65;0.00;FAC2024-0042
2024-01-07;VT;700000;Vente marchandises - CLIENT_012;0.00;218535;FAC2024-0042
2024-01-07;VT;445700;TVA sur vente - CLIENT_012;0.00;41521.65;FAC2024-0042
2024-11-30;VT;411000;Facture N°FAC2024-0043 - CLIENT_006;147808.71;0.00;FAC2024-0043
2024-11-30;VT;700000;Vente marchandises - CLIENT_006;0.00;124209;FAC2024-0043
2024-11-30;VT;445700;TVA sur vente - CLIENT_006;0.00;23599.71;FAC2024-0043
2024-01-24;VT;411000;Facture N°FAC2024-0044 - CLIENT_010;393560.37;0.00;FAC2024-0044
2024-01-24;VT;700000;Vente marchandises - CLIENT_010;0.00;330723;FAC2024-0044
2024-01-24;VT;445700;TVA sur vente - CLIENT_010;0.00;62837.37;FAC2024-0044
2024-01-31;VT;411000;Facture N°FAC2024-0045 - CLIENT_003;147206.57;0.00;FAC2024-0045
2024-01-31;VT;700000;Vente marchandises - CLIENT_003;0.00;123703;FAC2024-0045
2024-01-31;VT;445700;TVA sur vente - CLIENT_003;0.00;23503.57;FAC2024-0045
2024-05-06;VT;411000;Facture N°FAC2024-0046 - CLIENT_005;7741.18;0.00;FAC2024-0046
2024-05-06;VT;700000;Vente marchandises - CLIENT_005;0.00;7102;FAC2024-0046
2024-05-06;VT;445700;TVA sur vente - CLIENT_005;0.00;639.18;FAC2024-0046
2024-10-13;VT;411000;Facture N°FAC2024-0047 - CLIENT_004;244323.50;0.00;FAC2024-0047
2024-10-13;VT;700000;Vente marchandises - CLIENT_004;0.00;224150;FAC2024-0047
2024-10-13;VT;445700;TVA sur vente - CLIENT_004;0.00;20173.50;FAC2024-0047
2024-07-06;VT;411000;Facture N°FAC2024-0048 - CLIENT_018;244431.95;0.00;FAC2024-0048
2024-07-06;VT;700000;Vente marchandises - CLIENT_018;0.00;205405;FAC2024-0048
2024-07-06;VT;445700;TVA sur vente - CLIENT_018;0.00;39026.95;FAC2024-0048
2024-01-16;VT;411000;Facture N°FAC2024-0049 - CLIENT_013;501130.42;0.00;FAC2024-0049
2024-01-16;VT;700000;Vente marchandises - CLIENT_013;0.00;421118;FAC2024-0049
2024-01-16;VT;445700;TVA sur vente - CLIENT_013;0.00;80012.42;FAC2024-0049
2024-09-03;VT;411000;Facture N°FAC2024-0050 - CLIENT_016;287208.88;0.00;FAC2024-0050
2024-09-03;VT;700000;Vente marchandises - CLIENT_016;0.00;241352;FAC2024-0050
2024-09-03;VT;445700;TVA sur vente - CLIENT_016;0.00;45856.88;FAC2024-0050
2024-06-12;VT;411000;Facture N°FAC2024-0051 - CLIENT_019;55101.76;0.00;FAC2024-0051
2024-06-12;VT;700000;Vente marchandises - CLIENT_019;0.00;46304;FAC2024-0051
2024-06-12;VT;445700;TVA sur vente - CLIENT_019;0.00;8797.76;FAC2024-0051
2024-11-23;VT;411000;Facture N°FAC2024-0052 - CLIENT_007;468485.15;0.00;FAC2024-0052
2024-11-23;VT;700000;Vente marchandises - CLIENT_007;0.00;393685;FAC2024-0052
2024-11-23;VT;445700;TVA sur vente - CLIENT_007;0.00;74800.15;FAC2024-0052
2024-12-12;VT;411000;Facture N°FAC2024-0053 - CLIENT_014;203518.56;0.00;FAC2024-0053
2024-12-12;VT;700000;Vente marchandises - CLIENT_014;0.00;171024;FAC2024-0053
2024-12-12;VT;445700;TVA sur vente - CLIENT_014;0.00;32494.56;FAC2024-0053
2024-11-12;VT;411000;Facture N°FAC2024-0054 - CLIENT_005;13617.17;0.00;FAC2024-0054
2024-11-12;VT;700000;Vente marchandises - CLIENT_005;0.00;11443;FAC2024-0054
2024-11-12;VT;445700;TVA sur vente - CLIENT_005;0.00;2174.17;FAC2024-0054
2024-01-23;VT;411000;Facture N°FAC2024-0055 - CLIENT_008;207049.29;0.00;FAC2024-0055
2024-01-23;VT;700000;Vente marchandises - CLIENT_008;0.00;173991;FAC2024-0055
2024-01-23;VT;445700;TVA sur vente - CLIENT_008;0.00;33058.29;FAC2024-0055
2024-10-23;VT;411000;Facture N°FAC2024-0056 - CLIENT_006;29789.27;0.00;FAC2024-0056
2024-10-23;VT;700000;Vente marchandises - CLIENT_006;0.00;25033;FAC2024-0056
2024-10-23;VT;445700;TVA sur vente - CLIENT_006;0.00;4756.27;FAC2024-0056
2024-12-09;VT;411000;Facture N°FAC2024-0057 - CLIENT_005;384364.05;0.00;FAC2024-0057
2024-12-09;VT;700000;Vente marchandises - CLIENT_005;0.00;322995;FAC2024-0057
2024-12-09;VT;445700;TVA sur vente - CLIENT_005;0.00;61369.05;FAC2024-0057
2024-05-16;VT;411000;Facture N°FAC2024-0058 - CLIENT_009;445405.10;0.00;FAC2024-0058
2024-05-16;VT;700000;Vente marchandises - CLIENT_009;0.00;374290;FAC2024-0058
2024-05-16;VT;445700;TVA sur vente - CLIENT_009;0.00;71115.10;FAC2024-0058
2024-09-02;VT;411000;Facture N°FAC2024-0059 - CLIENT_001;535232.51;0.00;FAC2024-0059
2024-09-02;VT;700000;Vente marchandises - CLIENT_001;0.00;491039;FAC2024-0059
2024-09-02;VT;445700;TVA sur vente - CLIENT_001;0.00;44193.51;FAC2024-0059
2024-04-16;VT;411000;Facture N°FAC2024-0060 - CLIENT_007;382454.84;0.00;FAC2024-0060
2024-04-16;VT;700000;Vente marchandises - CLIENT_007;0.00;350876;FAC2024-0060
2024-04-16;VT;445700;TVA sur vente - CLIENT_007;0.00;31578.84;FAC2024-0060
2024-05-22;VT;411000;Facture N°FAC2024-0061 - CLIENT_020;145347.79;0.00;FAC2024-0061
2024-05-22;VT;700000;Vente marchandises - CLIENT_020;0.00;122141;FAC2024-0061
2024-05-22;VT;445700;TVA sur vente - CLIENT_020;0.00;23206.79;FAC2024-0061
2024-01-20;VT;411000;Facture N°FAC2024-0062 - CLIENT_002;354885.37;0.00;FAC2024-0062
2024-01-20;VT;700000;Vente marchandises - CLIENT_002;0.00;298223;FAC2024-0062
2024-01-20;VT;445700;TVA sur vente - CLIENT_002;0.00;56662.37;FAC2024-0062
2024-07-11;VT;411000;Facture N°FAC2024-0063 - CLIENT_014;152023.69;0.00;FAC2024-0063
2024-07-11;VT;700000;Vente marchandises - CLIENT_014;0.00;127751;FAC2024-0063
2024-07-11;VT;445700;TVA sur vente - CLIENT_014;0.00;24272.69;FAC2024-0063
2024-12-19;VT;411000;Facture N°FAC2024-0064 - CLIENT_004;42099.82;0.00;FAC2024-0064
2024-12-19;VT;700000;Vente marchandises - CLIENT_004;0.00;35378;FAC2024-0064
2024-12-19;VT;445700;TVA sur vente - CLIENT_004;0.00;6721.82;FAC2024-0064
2024-10-10;VT;411000;Facture N°FAC2024-0065 - CLIENT_018;550842.67;0.00;FAC2024-0065
2024-10-10;VT;700000;Vente marchandises - CLIENT_018;0.00;462893;FAC2024-0065
2024-10-10;VT;445700;TVA sur vente - CLIENT_018;0.00;87949.67;FAC2024-0065
2024-10-27;VT;411000;Facture N°FAC2024-0066 - CLIENT_010;513301.74;0.00;FAC2024-0066
2024-10-27;VT;700000;Vente marchandises - CLIENT_010;0.00;431346;FAC2024-0066
2024-10-27;VT;445700;TVA sur vente - CLIENT_010;0.00;81955.74;FAC2024-0066
2024-11-10;VT;411000;Facture N°FAC2024-0067 - CLIENT_016;587742.19;0.00;FAC2024-0067
2024-11-10;VT;700000;Vente marchandises - CLIENT_016;0.00;493901;FAC2024-0067
2024-11-10;VT;445700;TVA sur vente - CLIENT_016;0.00;93841.19;FAC2024-0067
2024-03-01;VT;411000;Facture N°FAC2024-0068 - CLIENT_001;465616.06;0.00;FAC2024-0068
2024-03-01;VT;700000;Vente marchandises - CLIENT_001;0.00;391274;FAC2024-0068
2024-03-01;VT;445700;TVA sur vente - CLIENT_001;0.00;74342.06;FAC2024-0068
2024-07-19;VT;411000;Facture N°FAC2024-0069 - CLIENT_013;476424.83;0.00;FAC2024-0069
2024-07-19;VT;700000;Vente marchandises - CLIENT_013;0.00;400357;FAC2024-0069
2024-07-19;VT;445700;TVA sur vente - CLIENT_013;0.00;76067.83;FAC2024-0069
2024-03-24;VT;411000;Facture N°FAC2024-0070 - CLIENT_010;315786.73;0.00;FAC2024-0070
2024-03-24;VT;700000;Vente marchandises - CLIENT_010;0.00;265367;FAC2024-0070
2024-03-24;VT;445700;TVA sur vente - CLIENT_010;0.00;50419.73;FAC2024-0070
2024-04-27;VT;411000;Facture N°FAC2024-0071 - CLIENT_019;20501.32;0.00;FAC2024-0071
2024-04-27;VT;700000;Vente marchandises - CLIENT_019;0.00;17228;FAC2024-0071
2024-04-27;VT;445700;TVA sur vente - CLIENT_019;0.00;3273.32;FAC2024-0071
2024-07-31;VT;411000;Facture N°FAC2024-0072 - CLIENT_006;52971.66;0.00;FAC2024-0072
2024-07-31;VT;700000;Vente marchandises - CLIENT_006;0.00;44514;FAC2024-0072
2024-07-31;VT;445700;TVA sur vente - CLIENT_006;0.00;8457.66;FAC2024-0072
2024-09-01;VT;411000;Facture N°FAC2024-0073 - CLIENT_016;137655.63;0.00;FAC2024-0073
2024-09-01;VT;700000;Vente marchandises - CLIENT_016;0.00;115677;FAC2024-0073
2024-09-01;VT;445700;TVA sur vente - CLIENT_016;0.00;21978.63;FAC2024-0073
2024-09-28;VT;411000;Facture N°FAC2024-0074 - CLIENT_005;371366.87;0.00;FAC2024-0074
2024-09-28;VT;700000;Vente marchandises - CLIENT_005;0.00;312073;FAC2024-0074
2024-09-28;VT;445700;TVA sur vente - CLIENT_005;0.00;59293.87;FAC2024-0074
2024-10-19;VT;411000;Facture N°FAC2024-0075 - CLIENT_018;400830.08;0.00;FAC2024-0075
2024-10-19;VT;700000;Vente marchandises - CLIENT_018;0.00;336832;FAC2024-0075
2024-10-19;VT;445700;TVA sur vente - CLIENT_018;0.00;63998.08;FAC2024-0075
2024-04-19;VT;411000;Facture N°FAC2024-0076 - CLIENT_010;557788.70;0.00;FAC2024-0076
2024-04-19;VT;700000;Vente marchandises - CLIENT_010;0.00;468730;FAC2024-0076
2024-04-19;VT;445700;TVA sur vente - CLIENT_010;0.00;89058.70;FAC2024-0076
2024-06-06;VT;411000;Facture N°FAC2024-0077 - CLIENT_014;491383.13;0.00;FAC2024-0077
2024-06-06;VT;700000;Vente marchandises - CLIENT_014;0.00;412927;FAC2024-0077
2024-06-06;VT;445700;TVA sur vente - CLIENT_014;0.00;78456.13;FAC2024-0077
2024-08-13;VT;411000;Facture N°FAC2024-0078 - CLIENT_006;105197.19;0.00;FAC2024-0078
2024-08-13;VT;700000;Vente marchandises - CLIENT_006;0.00;88401;FAC2024-0078
2024-08-13;VT;445700;TVA sur vente - CLIENT_006;0.00;16796.19;FAC2024-0078
2024-06-24;VT;411000;Facture N°FAC2024-0079 - CLIENT_020;398997.48;0.00;FAC2024-0079
2024-06-24;VT;700000;Vente marchandises - CLIENT_020;0.00;335292;FAC2024-0079
2024-06-24;VT;445700;TVA sur vente - CLIENT_020;0.00;63705.48;FAC2024-0079
2024-06-26;VT;411000;Facture N°FAC2024-0080 - CLIENT_016;441998.13;0.00;FAC2024-0080
2024-06-26;VT;700000;Vente marchandises - CLIENT_016;0.00;371427;FAC2024-0080
2024-06-26;VT;445700;TVA sur vente - CLIENT_016;0.00;70571.13;FAC2024-0080
2024-06-26;VT;411000;Facture N°FAC2024-0081 - CLIENT_003;443731.96;0.00;FAC2024-0081
2024-06-26;VT;700000;Vente marchandises - CLIENT_003;0.00;372884;FAC2024-0081
2024-06-26;VT;445700;TVA sur vente - CLIENT_003;0.00;70847.96;FAC2024-0081
2024-01-09;VT;411000;Facture N°FAC2024-0082 - CLIENT_009;394540.93;0.00;FAC2024-0082
2024-01-09;VT;700000;Vente marchandises - CLIENT_009;0.00;331547;FAC2024-0082
2024-01-09;VT;445700;TVA sur vente - CLIENT_009;0.00;62993.93;FAC2024-0082
2024-02-15;VT;411000;Facture N°FAC2024-0083 - CLIENT_004;337637.31;0.00;FAC2024-0083
2024-02-15;VT;700000;Vente marchandises - CLIENT_004;0.00;309759;FAC2024-0083
2024-02-15;VT;445700;TVA sur vente - CLIENT_004;0.00;27878.31;FAC2024-0083
2024-06-21;VT;411000;Facture N°FAC2024-0084 - CLIENT_002;409477.81;0.00;FAC2024-0084
2024-06-21;VT;700000;Vente marchandises - CLIENT_002;0.00;344099;FAC2024-0084
2024-06-21;VT;445700;TVA sur vente - CLIENT_002;0.00;65378.81;FAC2024-0084
2024-06-11;VT;411000;Facture N°FAC2024-0085 - CLIENT_007;581403.06;0.00;FAC2024-0085
2024-06-11;VT;700000;Vente marchandises - CLIENT_007;0.00;488574;FAC2024-0085
2024-06-11;VT;445700;TVA sur vente - CLIENT_007;0.00;92829.06;FAC2024-0085
2024-06-14;VT;411000;Facture N°FAC2024-0086 - CLIENT_017;564055.24;0.00;FAC2024-0086
2024-06-14;VT;700000;Vente marchandises - CLIENT_017;0.00;473996;FAC2024-0086
2024-06-14;VT;445700;TVA sur vente - CLIENT_017;0.00;90059.24;FAC2024-0086
2024-08-25;VT;411000;Facture N°FAC2024-0087 - CLIENT_016;18692.41;0.00;FAC2024-0087
2024-08-25;VT;700000;Vente marchandises - CLIENT_016;0.00;17149;FAC2024-0087
2024-08-25;VT;445700;TVA sur vente - CLIENT_016;0.00;1543.41;FAC2024-0087
2024-09-01;VT;411000;Facture N°FAC2024-0088 - CLIENT_017;242427.99;0.00;FAC2024-0088
2024-09-01;VT;700000;Vente marchandises - CLIENT_017;0.00;203721;FAC2024-0088
2024-09-01;VT;445700;TVA sur vente - CLIENT_017;0.00;38706.99;FAC2024-0088
2024-11-18;VT;411000;Facture N°FAC2024-0089 - CLIENT_001;68711.79;0.00;FAC2024-0089
2024-11-18;VT;700000;Vente marchandises - CLIENT_001;0.00;57741;FAC2024-0089
2024-11-18;VT;445700;TVA sur vente - CLIENT_001;0.00;10970.79;FAC2024-0089
2024-05-25;VT;411000;Facture N°FAC2024-0090 - CLIENT_006;242587.45;0.00;FAC2024-0090
2024-05-25;VT;700000;Vente marchandises - CLIENT_006;0.00;203855;FAC2024-0090
2024-05-25;VT;445700;TVA sur vente - CLIENT_006;0.00;38732.45;FAC2024-0090
2024-05-08;VT;411000;Facture N°FAC2024-0091 - CLIENT_006;156651.53;0.00;FAC2024-0091
2024-05-08;VT;700000;Vente marchandises - CLIENT_006;0.00;143717;FAC2024-0091
2024-05-08;VT;445700;TVA sur vente - CLIENT_006;0.00;12934.53;FAC2024-0091
2024-09-25;VT;411000;Facture N°FAC2024-0092 - CLIENT_005;140994.77;0.00;FAC2024-0092
2024-09-25;VT;700000;Vente marchandises - CLIENT_005;0.00;118483;FAC2024-0092
2024-09-25;VT;445700;TVA sur vente - CLIENT_005;0.00;22511.77;FAC2024-0092
2024-10-26;VT;411000;Facture N°FAC2024-0093 - CLIENT_003;301235.67;0.00;FAC2024-0093
2024-10-26;VT;700000;Vente marchandises - CLIENT_003;0.00;276363;FAC2024-0093
2024-10-26;VT;445700;TVA sur vente - CLIENT_003;0.00;24872.67;FAC2024-0093
2024-07-09;VT;411000;Facture N°FAC2024-0094 - CLIENT_004;463103.94;0.00;FAC2024-0094
2024-07-09;VT;700000;Vente marchandises - CLIENT_004;0.00;424866;FAC2024-0094
2024-07-09;VT;445700;TVA sur vente - CLIENT_004;0.00;38237.94;FAC2024-0094
2024-09-03;VT;411000;Facture N°FAC2024-0095 - CLIENT_013;282022.24;0.00;FAC2024-0095
2024-09-03;VT;700000;Vente marchandises - CLIENT_013;0.00;258736;FAC2024-0095
2024-09-03;VT;445700;TVA sur vente - CLIENT_013;0.00;23286.24;FAC2024-0095
2024-08-22;VT;411000;Facture N°FAC2024-0096 - CLIENT_020;388256.54;0.00;FAC2024-0096
